1,15toknow,220 N. Gulph Rd,,,King of Prussia,19406,Montgomery,800-741-0457,https://15toknow.com/
2,AFC URGENT CARE LEVITTOWN,173 Levittown Pkwy Suite 24A,,,Levittown,19055,Bucks,215-660-4068,https://www.afcurgentcare.com/levittown/
3,AFC Urgent Care Downingtown,150 E Pennsylvania Ave,140,,Downingtown,19335,Chester,610-518-1060,www.afcurgentcaredowningtown.com
4,AFC Urgent Care Warrington,781 Easton Rd,,,Warrington,18976,Bucks,215-874-3209,https://docs.google.com/forms/d/1XOjpN3nff12HFpWfqFItQYT7ps2vKceB8zD4XfSmdMw/edit
5,AHN FORBES HOSPITAL,PHARMACY,,2570 HAYMAKER ROAD,MONROEVILLE,15146,Allegheny,,https://www.ahn.org/coronavirus.html
6,AHN-Allegheny General Hospital,320 East North Avenue,Pharmacy,,Pittsburgh,15212,Allegheny,1-412-624-2100,https://www.ahn.org/coronavirus.html
7,AHN-Allegheny Valley Hospital,1301 Carlisle Street,,,Natrona Heights,15065,Allegheny,1-412-362-8677,https://www.ahn.org/coronavirus.html
8,AHN-Canonsburg Hospital,100 Medical Blvd,,,Canonsburg,15317,Washington,1-724-745-6100,https://www.ahn.org/coronavirus.html
9,AHN-Jefferson Regional Hospital,Pharmacy Department,,565 Coal Valley Road,Jefferson Hills,15025,Allegheny,1-412-469-5000,https://www.ahn.org/coronavirus.html
10,AHN-Saint Vincent Hospital,PHARMACY DEPARTMENT,,232 WEST 25TH STREET,Erie,16544,Erie,,https://www.ahn.org/coronavirus.html
11,AHN-WEST PENN HOSPITAL,PHARMACY DEPARTMENT,,4800 FRIENDSHIP AVENUE,PITTSBURGH,15224,Allegheny,412-687-7348,https://www.ahn.org/coronavirus.html
12,AHOLD USA-GIANT PHARMACY 6004,1008 LITITZ PIKE,,,LITITZ,17543,Lancaster,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
13,AHOLD USA-GIANT PHARMACY 6011,2450 CHEMICAL ROAD,,,PLYMOUTH MEETING,19462,Montgomery,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
14,AHOLD USA-GIANT PHARMACY 6023,700 NUTT ROAD,,,PHOENIXVILLE,19460,Chester,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
15,AHOLD USA-GIANT PHARMACY 6278,3400 CONCORD ROAD,,,ASTON,19014,Delaware,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
16,AHOLD USA-GIANT PHARMACY 6448,180 UPLAND SQ DR,,,STOWE,19464,Montgomery,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
17,AHOLD USA-GIANT PHARMACY-6083,539 N OAK AVENUE,,,ALDAN,19018,Delaware,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
18,AHOLD USA-GIANT PHARMACY-6088,450 EAST MAIN STREET,,,MIDDLETOWN,17057,Dauphin,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
19,AHOLD USA-GIANT PHARMACY-6112,255 S SPRING GARDEN STREET,,,CARLISLE,17013,Cumberland,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
20,AHOLD USA-GIANT PHARMACY-6277,7673 LAKE RAYSTOWN SHOPPING CENTER,,,HUNTINGDON,16652,Huntingdon,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
21,AHOLD USA-GIANT PHARMACY-6287,1000 SCOTT TOWN CENTER,,,BLOOMSBURG,17815,Columbia,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
22,AHOLD USA-GIANT PHARMACY-6333,901 S WEST END BOULEVARD,,,QUAKERTOWN,18951,Bucks,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
23,AHOLD USA-GIANT PHARMACY-6481,10 RIDGE PIKE,,,CONSHOHOCKEN,19428,Montgomery,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
